id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7
Stanley et al., 2016-Lotteries > Gifters at time of estimate	0	0	1	0	0	0	0
Stanley et al., 2016-Lotteries > Gifters at time of outcome	0	0	0	0	0	0	0
Steinbeis et al., 2008-compositions > computer-generated pieces	0	1	4	1	0	0	0
Sugiura et al., 2008-Face (simple effect) [Ff–Sf]	0	0	0	0	0	0	0
Sugiura et al., 2008-Face (simple effect) [Sf+Ff–2Cf masked by Sf–Cf, and Ff–Cf]	0	0	1	0	0	0	0
Sugiura et al., 2008-Face (simple effect) [Sf–Ff]	0	0	1	0	1	0	0
Sugiura et al., 2008-Face specific (interaction) [(Sf+Ff–2Cf)–(Sn+Fn–2Cn) masked by Sf+Ff–2Cf]	0	0	0	0	0	0	0
Sugiura et al., 2008-Face specific (interaction) [(Sf–Ff)–(Sn–Fn) masked by Sf–Ff]	0	0	0	0	1	0	0
Sugiura et al., 2008-Main effect [(Ff+Fn)–(Sf+Sn) masked by Ff–Sf and Fn–Sn]	0	0	2	0	0	0	0
Sugiura et al., 2008-Main effect [(Sf+Ff+Sn+Fn)–2(Cf+Cn) masked by Sf–Cf, Ff–Cf, Sn–Cn, and Fn–Cn]	0	0	0	2	0	0	0
Sugiura et al., 2008-Name (simple effect) [Sn+Fn–2Cn masked by Sn–Cn, and Fn–Cn]	2	0	0	2	0	1	0
Sugiura et al., 2010-First (P1–F1)	4	0	5	4	3	2	0
Sugiura et al., 2010-Second (P2–F2)	4	0	3	4	2	0	0
Sumiya et al., 2017-SELFGroup−SELFNo > OTHER Group–OTHERNo	0	0	0	0	0	4	0
Sumiya et al., 2017-group > no laughter	0	0	5	0	0	0	0
Sumiya et al., 2017-group > single laughter	0	1	1	3	2	0	0
Sumiya et al., 2017-self > other	0	0	0	1	0	0	0
Sumiya et al., 2017-single > no laughter	0	0	1	0	0	0	0
Sun et al., 2016-(CC-A)Gain > (CC-A)Loss	0	0	0	0	0	0	0
Sun et al., 2016-A > CC	0	0	0	0	0	0	0
Sun et al., 2016-CC > A	0	0	1	2	0	0	0
Sun et al., 2016-Gain > Loss	0	0	0	1	0	0	0
Suslow et al., 2009-Coorelation -- attachment avoidance with brain responses to masked sad faces	0	1	1	0	0	0	0
Suslow et al., 2009-Masked sad faces > neutral faces	0	1	5	0	0	1	0
Suslow et al., 2009-Negative coorelation -- attachment avoidance with brain responsed to masked sad faces	0	0	1	0	0	0	0
Suslow et al., 2009-masked happy faces > neutral faces	0	0	4	0	1	1	0
Suslow et al., 2017-masked disgust > masked neutral	0	0	0	1	0	0	0
Suslow et al., 2017-masked happy faces > masked neutral	0	0	2	0	0	0	0
Suslow et al., 2017-unmasked disgust > unmasked neutral	0	0	0	0	1	0	0
Suzuki et al., 2012-Reward Prediction Error (control) > Reward probability (other)	0	0	0	1	0	0	0
Suzuki et al., 2012-Reward probability (other) >  Reward Prediction Error (control)	0	0	0	1	0	0	0
Suzuki et al., 2012-Reward probability (other) > Reward Prediction Error (other)	0	0	0	1	0	0	0
Suzuki et al., 2012-Simulated-other’s action prediction error > Simulated-other’s reward prediction error	0	0	2	1	2	1	0
Suzuki et al., 2012-Simulated-other’s reward prediction error > Simulated-other’s action prediction error	0	0	0	1	0	0	0
Takahashi et al., 2004-Embarrassment > Neutral	0	1	4	2	0	0	0
Takahashi et al., 2004-Embarrassment > guilt	0	0	1	0	0	0	0
Takahashi et al., 2004-G > N masked E > N	0	0	1	2	0	0	0
Takahashi et al., 2004-Guilt > Embarrassment	0	0	0	0	0	0	0
Takahashi et al., 2004-Guilt > Neutral	0	0	2	1	0	0	0
Tamir et al., 2010-self–other discrepancy during Other judgments	0	1	0	1	1	0	0
Tamir et al., 2010-self–other discrepancy during self trials	0	0	0	0	0	0	0
Tamir et al., 2015-abstract > vivid	1	2	5	2	0	0	0
Tamir et al., 2015-non-social > social	0	1	2	0	1	0	0
Tamir et al., 2015-social > non-social	0	0	1	1	1	0	0
Tamir et al., 2015-vivid > abstract	0	1	1	0	1	0	0
Telzer et al., 2011-Costly-Donation relative to Noncostly-Reward (accept)	0	0	3	1	0	0	0
Telzer et al., 2011-Costly-Donation versus Noncostly-Reward (Family obligtations)	0	0	1	0	0	0	0
Thornton et al., 2013-interaction between sociality and working memory load	0	1	1	1	2	0	0
Thornton et al., 2013-sociality > working memory load	0	0	1	0	2	0	0
Thornton et al., 2013-working memory load > sociality	0	2	0	0	0	0	0
Todorov et al., 2007-face associated with behavior > novel faces	0	0	2	1	0	0	0
Todorov et al., 2007-faces associated with aggressive behaviors > faces associated with disgusting behaviors	0	0	0	0	0	0	0
Todorov et al., 2007-faces associated with disgusting behaviors > faces associated with aggressive behaviors	0	0	1	0	0	0	0
Todorov et al., 2007-faces associated with nice behaviors > faces associated with neutral behaviors	0	0	0	0	0	0	0
Toki et al, 2013-Main effect of face type	0	0	3	0	0	0	0
Toki et al, 2013-Main effect of task	0	2	0	0	0	0	0
Toki et al, 2013-Task by face type interaction	0	5	0	3	1	2	0
Tomova et al., 2017, (INJECTION > QTIP)= STRESS > CONTROL \ (BIOPSY > QTIP)= STRESS > CONTROL-analysis_1	0	1	1	2	0	1	0
Trapp et al., 2014-Other > (self & triad)	1	0	1	0	0	0	0
Trapp et al., 2014-Self > (other & triad)	0	0	0	1	0	0	0
Trapp et al., 2014-Triad > (self & other)	0	1	2	0	0	0	0
Trapp et al., 2014-triad ∩ self ∩ other	1	1	3	2	0	0	0
Tso et al., 2018-Social vs Non-Social	2	0	8	3	0	1	0
Tsoi et al., 2016-Competitive > cooperative (active)	0	1	0	1	0	0	0
Tsoi et al., 2016-Competitive= active > passive	0	1	1	1	1	0	0
Tsoi et al., 2016-Cooperative > competitive (active)	0	0	0	0	0	0	0
Tsoi et al., 2016-Cooperative= active > passive	0	0	2	1	0	0	0
Tylén et al., 2016-Meaning > Physical	0	1	1	0	0	0	0
Tylén et al., 2016-Own > Other (meaning related task)	1	0	1	0	0	0	0
Tylén et al., 2016-Own > Other × Collective > Individual (meaning related task)	0	1	0	1	0	0	0
Tylén et al., 2016-Physical > Meaning	0	0	1	0	0	0	0
Uddin et al., 2005-Other - Self	1	0	2	2	0	0	0
Uddin et al., 2005-Self - Other	0	0	2	0	0	0	0
Ueda et al., 2017-Incongruent > Congruent	0	1	0	0	0	1	0
Van Der Heiden et al., 2013-Conjunction of Other and Self.	0	2	2	1	0	0	0
Van Der Heiden et al., 2013-Other > Self	0	2	2	1	0	0	0
Van Der Heiden et al., 2013-Self > Other	0	0	1	0	0	0	0
Van den Stock et al., 2015-all conditions vs baseline	0	3	5	0	2	1	0
Van den Stock et al., 2015-focus Aggressor > victim	0	0	3	0	0	1	0
Vanlangendonck et al., 2018-Arbitrary > Collaborative	0	6	8	2	4	0	0
Vanlangendonck et al., 2018-Arbitrary > Individual	0	2	2	0	3	4	0
Vanlangendonck et al., 2018-Collaborative > Arbitrary	1	0	5	3	0	0	0
Vanlangendonck et al., 2018-Collaborative > Individual	0	0	1	2	0	0	0
Vanlangendonck et al., 2018-Individual > Arbitrary	0	0	4	0	0	0	0
Vanlangendonck et al., 2018-Individual > Collaborative	0	0	4	0	2	0	0
Volz et al., 2015-difference between sender and reciever payoff > baseline	0	0	0	1	0	0	0
Volz et al., 2015-simple & sophisticated deception > truth	1	0	2	0	0	0	0
Volz et al., 2015-simple deception > truth	1	0	1	2	0	0	0
Volz et al., 2015-sophisticated deception > simple deception	0	1	2	0	0	0	0
Volz et al., 2015-sophisticated deception > truth	0	0	2	0	0	0	0
Volz et al., 2015-truth > simple deception & sophisticated deception	0	0	0	1	2	0	0
Von Der Heide et al., 2013-Faces > Landmarks	1	0	3	2	0	1	0
Von Der Heide et al., 2013-Familiar faces > Novel faces	1	1	3	1	0	0	0
Von Der Heide et al., 2013-Famous faces > Novel faces	0	0	1	0	0	0	0
Von Der Heide et al., 2013-Famous faces > Novel landmarks	1	0	2	3	0	0	0
Von Der Heide et al., 2013-Famous landmarks > Novel landmarks	0	0	0	0	0	0	0
Von Der Heide et al., 2013-Famous ∩ Familiar faces	0	0	0	0	0	0	0
Von Der Heide et al., 2013-Landmarks > Faces	1	0	0	0	0	0	0
Von Der Heide et al., 2013-Novel faces > Famous faces	0	0	0	0	0	0	0
Von Der Heide et al., 2013-Novel faces > Novel landmarks	1	0	1	1	0	0	0
Von Der Heide et al., 2013-Novel landmarks > Famous faces	1	2	3	0	2	0	0
Von Der Heide et al., 2013-Novel landmarks > Famous landmarks	0	0	1	1	3	0	0
Von Der Heide et al., 2013-Novel landmarks > Novel faces	1	0	1	0	0	0	0
Völlm et al., 2006-(Empathy - Physical 2) - (ToM - Physical 1)	0	0	1	0	0	1	0
Völlm et al., 2006-(ToM - Physical 1) - (Empathy - Physical 2)	0	0	0	0	0	0	0
Völlm et al., 2006-Conjunction Analysis	0	0	3	0	0	0	0
Völlm et al., 2006-Empathy - Physical 2	0	0	1	1	0	0	0
Völlm et al., 2006-ToM - Physical 1	1	0	2	0	0	0	0
Wade-Bohleber et al., 2019-other> control	1	0	2	1	0	0	0
Wade-Bohleber et al., 2019-self-relevant > control	1	0	2	1	0	0	0
Wagels et al., 2016-FG EX > FG IN	1	0	2	2	0	0	0
Wagels et al., 2016-FG EX > PG EX	0	0	0	0	0	0	0
Wagels et al., 2016-PG EX > FG EX	0	1	3	1	1	0	0
Wagels et al., 2016-PG EX > FG IN	0	2	2	3	1	0	0
Wagels et al., 2016-PG EX > FG IN ∩ FG EX > FG IN (Conjunction)	1	0	1	1	0	0	0
Wagner et al., 2015-Shared_emo > unshared_emo	3	0	1	1	0	0	0
Wagner et al., 2015-Shared_emo > unshared_emo (masked with interaction sharing 􏰀 emotion)	2	0	1	0	0	0	0
Walbrin et al., 2018-conjunction	0	0	1	0	0	0	0
Walbrin et al., 2018a-point light human interactions > individual actions	0	0	1	0	0	0	0
Walbrin et al., 2018b-competition > cooperation	0	0	1	0	0	0	0
Walter et al., 2004a-Cint> Ph-C	2	1	4	3	1	0	0
Walter et al., 2004a-Cint> Pint-1 and Pint-2	0	0	0	1	0	0	0
Walter et al., 2004a-Pint-1> Ph-C	1	0	5	0	0	0	0
Walter et al., 2004a-Pint-2> Ph-C	2	0	5	0	1	1	0
Walter et al., 2004b-Cint> Psint>Pint-1	0	0	0	1	0	0	0
Walter et al., 2004b-Pint-2> Ph-C	1	1	3	3	0	0	0
Walter et al., 2004b-Psint-2> Ph-C	2	1	5	2	0	0	0
Wang et al., 2011-Eye contact effect Simple effect= Direct-Cong > Averted-Cong	0	0	1	0	0	1	0
Wang et al., 2011-Hand movement task Cong > Catch	0	3	1	0	0	0	0
Wang et al., 2011-Hand movement task Incong > Catch	0	1	0	0	0	0	0
Wang et al., 2011-Inhibition of mimicry Main effect= Incong > Cong	0	0	3	0	0	0	0
Wang et al., 2011-Inhibition of mimicry Simple effect= Averted-Incong > averted-Cong	0	0	3	1	2	1	0
Wang et al., 2011-Interaction (Direct-Cong > Direct-Incong) > (Averted-Cong > Averted-Incong)	0	0	2	1	0	0	0
Weng et al., 2015-SUFFERING vs. NEUTRAL	0	0	0	0	0	1	0
Weng et al., 2015-[SUFFERING-NEUTRAL] – PRE[SUFFERING-NEUTRAL]	0	0	1	0	0	0	0
Whitman et al., 2016-O-performance > S - performance	0	0	0	1	0	0	0
Whitman et al., 2016-S-performance > O - performance	1	0	0	1	0	0	0
Wildgruber et al., 2013-CAT > COU	0	2	0	0	1	0	0
Wildgruber et al., 2013-CSL > TIC	1	0	2	0	0	0	0
Wildgruber et al., 2013-TIC > CSL	0	0	1	0	1	1	0
Will et al., 2014-Excluders > Includers	0	1	1	0	2	0	0
Will et al., 2014-Excluders equality > Includers equality	0	0	0	0	4	0	0
Will et al., 2014-Includers > Excluders	0	0	2	0	0	0	0
Will et al., 2014-Positive correlation with punishment frequency (percentage inequality for excluders - percentage inequality for includers)	0	5	3	3	6	2	0
Winston et al., 2002-Explicit > implicit	0	1	1	1	0	0	0
Winston et al., 2002-Iimplicit > Explicit	0	0	0	0	0	0	0
Winston et al., 2002-Trustworthy > Untrustworthy	0	0	0	0	0	0	0
Winston et al., 2002-Untrustworthy > Trustworthy	0	0	2	0	0	1	0
Wlodarski et al., 2016-friend > kin condition	2	0	1	3	0	0	0
Wolf et al., 2010-MC answer theory of mind (ToM)NMC answer physical inference (PI)	1	1	3	0	2	0	0
Wolf et al., 2010-Movie scenes theory of mind (ToM) > movie scenes physical inference (PI)	1	1	2	0	0	0	0
Wolf et al., 2010-Silent answer theory of mind (ToM) > silent answer physical inference (PI)	0	0	1	2	0	0	0
Wolf et al., 2018-non-verbal > verbal interaction types	1	0	1	0	0	0	0
Wolf et al., 2018-verbal > non-verbal interaction types	0	0	2	0	0	0	0
Xie et al., 2016-Social-Look > Social-Reg	0	0	0	0	0	0	0
Xie et al., 2016-Social-Reg > Social-Look	1	1	2	1	0	0	0
Zahn et al., 2007-Positive > negative social concepts	0	1	0	1	0	0	0
Zahn et al., 2007-Social > animal masked by social > fixation	0	1	2	1	2	0	0
Zelinková et al., 2014-CV > NV	0	0	3	0	0	0	0
Zerubavel et al., 2015-target popularity during face-viewing task	1	0	1	2	0	1	0
Zhang et al., 2018-Emotion > Modality (CHECK THIS)	0	3	7	0	1	0	0
Zhang et al., 2018-Modality > Emotion (CHECK THIS)	0	0	8	0	0	0	0
Zhang et al., 2018-Modality X Emotion(CHECK THIS)	0	0	21	0	0	0	0
Zhou et al., 2014-FAIR < UNFAIR	0	0	0	1	2	0	0
Zhou et al., 2014-FAIR > UNFAIR	0	0	0	1	0	0	0
Zhou et al., 2014-HIGH(UNFAIR–FAIR) > LOW(UNFAIR–FAIR)	0	0	0	0	0	0	0
Zhou et al., 2014-HIGH(UNFAIR–FAIR) > LOW(UNFAIR–FAIR) WITHIN HUMAN	0	0	0	0	0	1	0
Zhou et al., 2014-HUMAN > COMPUTER	0	2	0	0	1	0	0
Ziaei et al., 2016-Angry averted gaze > angry direct gaze	0	2	8	1	3	1	0
Ziaei et al., 2016-Happy direct + averted gaze	4	0	6	4	0	0	0
Ziaei et al., 2016-angry direct gaze > angry averted gaze	0	1	0	1	2	1	0
Zimmermann et al., 2018-Touch > Close	0	0	2	0	1	2	0
Zink et al. 2008a-Superior player > inferior player; STABLE HIERARCHY	1	1	3	0	1	2	0
Zink et al. 2008b-Sub lost/inf won > sub lost/inf lost	0	1	4	0	1	2	0
Zink et al. 2008b-Sub won/sup lost > sub won/sup won	0	0	3	3	2	2	0
Zink et al. 2008b-Superior player > inferior player; UNSTABLE HIERARCHY	0	0	4	1	1	3	0
van den Bos et al., 2009-defect > reciprocate	0	0	0	1	0	0	0
van den Bos et al., 2009-reciprocate > defect	0	0	0	0	0	0	0
van den Bos et al., 2009-regression defect > reciprocity (Negative corr. avg. reciprocity)	0	0	0	0	0	1	0
van den Bos et al., 2009-regression defect > reciprocity (Positive corr. avg. reciprocity)	0	1	1	0	1	0	0
Špiláková et al., 2019-Builder (COO > COM) > Other (COO > COM)	0	2	0	0	0	0	0
Špiláková et al., 2019-CN > TB	0	0	5	0	0	4	0
Špiláková et al., 2019-Competition > Cooperation	0	1	0	5	2	0	0
Špiláková et al., 2019-Cooperation > competition	1	0	1	6	0	1	0
Špiláková et al., 2019-Other (COO > COM) > Builder (COO > COM)	0	0	7	3	0	0	0
Špiláková et al., 2019-TB (COO > COM) > CN (COO > COM)	0	0	2	1	0	0	0
