id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22	PositiveTail 23	PositiveTail 24
Tsoi et al., 2016-Competitive: active > passive; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsoi et al., 2016-Cooperative > competitive (active); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsoi et al., 2016-Cooperative: active > passive; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylén et al., 2016-Meaning > Physical; others	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylén et al., 2016-Own > Other (meaning related task); others	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylén et al., 2016-Own > Other × Collective > Individual (meaning related task); others	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tylén et al., 2016-Physical > Meaning; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uddin et al., 2005-Other - Self; others	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Van Der Heiden et al., 2013-Conjunction of Other and Self; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Van Der Heiden et al., 2013-Other > Self; others	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Van den Stock et al., 2015-all conditions vs baseline; others	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Van den Stock et al., 2015-focus Aggressor > victim; others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Volz et al., 2015-difference between sender and reciever payoff > baseline; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Volz et al., 2015-simple & sophisticated deception > truth; others	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Volz et al., 2015-simple deception > truth; others	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Volz et al., 2015-sophisticated deception > simple deception; others	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Volz et al., 2015-sophisticated deception > truth; others	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Volz et al., 2015-truth > simple deception & sophisticated deception; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Völlm et al., 2006-(Empathy - Physical 2) - (ToM - Physical 1); others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Völlm et al., 2006-(ToM - Physical 1) - (Empathy - Physical 2); others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Völlm et al., 2006-Conjunction Analysis; others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Völlm et al., 2006-Empathy - Physical 2; others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Völlm et al., 2006-ToM - Physical 1; others	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wade-Bohleber et al., 2019-other> control; others	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walbrin et al., 2018-conjunction; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walbrin et al., 2018a-point light human interactions > individual actions; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walbrin et al., 2018b-competition > cooperation; others	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004a-Cint> Ph-C; others	1	0	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004a-Cint> Pint-1 and Pint-2; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004a-Pint-1> Ph-C; others	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004a-Pint-2> Ph-C; others	1	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004b-Cint> Psint>Pint-1; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004b-Pint-2> Ph-C; others	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walter et al., 2004b-Psint-2> Ph-C; others	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Whitman et al., 2016-O-performance > S - performance; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Whitman et al., 2016-S-performance > O - performance; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wlodarski et al., 2016-friend > kin condition; others	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Wolf et al., 2010-MC answer theory of mind (ToM)NMC answer physical inference (PI); others	1	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolf et al., 2010-Movie scenes theory of mind (ToM) > movie scenes physical inference (PI); others	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolf et al., 2010-Silent answer theory of mind (ToM) > silent answer physical inference (PI); others	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zelinková et al., 2014-CV > NV; others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zink et al. 2008a-Superior player > inferior player; STABLE HIERARCHY; others	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Zink et al. 2008b-Sub lost/inf won > sub lost/inf lost; others	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zink et al. 2008b-Sub won/sup lost > sub won/sup won; others	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zink et al. 2008b-Superior player > inferior player; UNSTABLE HIERARCHY; others	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
van den Bos et al., 2009-defect > reciprocate; others	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
van den Bos et al., 2009-reciprocate > defect; others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
van den Bos et al., 2009-regression defect > reciprocity (Negative corr. avg. reciprocity); others	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
van den Bos et al., 2009-regression defect > reciprocity (Positive corr. avg. reciprocity); others	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Špiláková et al., 2019-Builder (COO > COM) > Other (COO > COM); others	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Špiláková et al., 2019-CN > TB; others	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Špiláková et al., 2019-Competition > Cooperation; others	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Špiláková et al., 2019-Cooperation > competition; others	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Špiláková et al., 2019-Other (COO > COM) > Builder (COO > COM); others	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Špiláková et al., 2019-TB (COO > COM) > CN (COO > COM); others	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
